省察 神の存在、及び人間の霊魂と肉体との区別を論証する、第一哲学についての,デカルト ルネ
アメリカ独立宣言,ジェファーソン トマス
源氏物語 44 匂宮,紫式部
或恋愛小説,芥川竜之介
水晶の栓,ルブラン モーリス
姥捨,太宰治
源氏物語 54 蜻蛉,紫式部
津軽,太宰治
源氏物語 47 橋姫,紫式部
源氏物語 55 手習,紫式部
源氏物語 45 紅梅,紫式部
河童,芥川竜之介
風野又三郎,宮沢賢治
源氏物語 51 宿り木,紫式部
源氏物語 46 竹河,紫式部
幽霊塔,黒岩涙香
源氏物語 48 椎が本,紫式部
源氏物語 49 総角,紫式部
源氏物語 52 東屋,紫式部
源氏物語 50 早蕨,紫式部
宇宙の始まり,アレニウス スヴァンテ
悪魔祈祷書,夢野久作
神曲 03 天堂,ダンテ アリギエリ
神曲 02 浄火,ダンテ アリギエリ
チベット旅行記,河口慧海
ルンペルシュチルツヒェン,グリム ヤーコプ ルートヴィッヒ カール　グリム ヴィルヘルム カール
孔子,和辻哲郎　
十三時,ポー エドガー アラン
あの頃の自分の事,芥川竜之介
西郷隆盛,芥川竜之介
ウィリアム ウィルスン,ポー エドガー アラン
メールストロムの旋渦,ポー エドガー アラン
甘鯛の姿焼き,北大路魯山人
あさましきもの,太宰治
手袋を買いに,新美南吉
風立ちぬ,堀辰雄
或日の大石内蔵助,芥川竜之介
人魚のひいさま,アンデルセン ハンス クリスチャン
イーハトーボ農学校の春,宮沢賢治
猫の広告文,夏目漱石
塩昆布の茶漬け,北大路魯山人
落穴と振子,ポー エドガー アラン
料理の第一歩,北大路魯山人
青ひげ,ペロー シャルル
女体,芥川竜之介
硝子戸の中,夏目漱石
杜子春,芥川竜之介
蜜柑,芥川竜之介
永久に不愉快な二重生活,芥川竜之介
一夜,夏目漱石
教育の目的,福沢諭吉
倫敦塔,夏目漱石
即興詩人,アンデルセン ハンス クリスチャン
鍋料理の話,北大路魯山人
醜い家鴨の子,アンデルセン ハンス クリスチャン
インチキ鮎,北大路魯山人
蜜柑,芥川竜之介
うづしほ,ポー エドガー アラン
日本料理の基礎観念,北大路魯山人
嘘,太宰治
『心』自序,夏目漱石
生まれいずる悩み,有島武郎
『心』広告文,夏目漱石
こゝろ,宮沢賢治
或る女 2（後編）,有島武郎
故郷,魯迅
歯車,芥川竜之介
桃太郎,芥川竜之介
もみの木,アンデルセン ハンス クリスチャン
透明人間,ウェルズ ハーバート ジョージ
材料か料理か,北大路魯山人
流刑地で,カフカ フランツ
侏儒の言葉,芥川竜之介
武蔵野,国木田独歩
料理と食器,北大路魯山人
遺教,西郷隆盛
桜の樹の下には,梶井基次郎
科学の不思議,ファーブル ジャン アンリ
アインシュタインの教育観,寺田寅彦
外科室,泉鏡花
ベーシック英語,高田力
女体,坂口安吾
赤いろうそくと人魚,小川未明
大菩薩峠 01 甲源一刀流の巻,中里介山
青森,太宰治
夜明け前 02 第一部下,島崎藤村
衰えてきた日本料理は救わねばならぬ,北大路魯山人
女,芥川竜之介
悲しき玩具,石川啄木
明治開化　安吾捕物 02 その一　舞踏会殺人事件,坂口安吾
片恋,芥川竜之介
京都のごりの茶漬け,北大路魯山人
断食芸人,カフカ フランツ
正岡子規,夏目漱石
運,芥川竜之介
古事記物語,鈴木三重吉
「いき」の構造,九鬼周造
五重塔,幸田露伴
鮎の名所,北大路魯山人
恩讐の彼方に,菊池寛
美味放談,北大路魯山人
坑夫,夏目漱石
胡瓜,北大路魯山人
地獄変,芥川竜之介
植物一日一題,牧野富太郎
右大臣実朝,太宰治
檸檬,梶井基次郎
遺訓,西郷隆盛
放浪記（初出）,林芙美子
いなか、の、じけん,夢野久作
婦系図,泉鏡花
アラビヤンナイト 01 一、アラジンとふしぎなランプ,菊池寛
夜明け前 03 第二部上,島崎藤村
夜明け前 04 第二部下,島崎藤村
椎茸の話,北大路魯山人
犬と笛,芥川竜之介
好色,芥川竜之介
お富の貞操,芥川竜之介
明治開化　安吾捕物 01 読者への口上,坂口安吾
邪宗門,芥川竜之介
鮎の試食時代,北大路魯山人
鮪を食う話,北大路魯山人
「グッド バイ」作者の言葉,太宰治
雁,森鴎外
個性,北大路魯山人
愛,岡本かの子
人柱の話,南方熊楠
青猫,萩原朔太郎
『注文の多い料理店』新刊案内,宮沢賢治
雑煮,北大路魯山人
高野豆腐,北大路魯山人
教育の目的,新渡戸稲造
首が落ちた話,芥川竜之介
魔術,芥川竜之介
「晩年」と「女生徒」,太宰治
思い出す事など,夏目漱石
残肴の処理,北大路魯山人
元禄時代小説第一巻「本朝二十不孝」ぬきほ（言文一致訳）,井原西鶴
一問一答,太宰治
英雄の器,芥川竜之介
おぎん,芥川竜之介
イズムの功過,夏目漱石
にごりえ,樋口一葉
河豚食わぬ非常識,北大路魯山人
カルメン,芥川竜之介
一片の石,会津八一
鮟鱇一夕話,北大路魯山人
鬼ごつこ,芥川竜之介
「ケルトの薄明」より,イエイツ ウィリアム バトラー
鱧 穴子 鰻の茶漬け,北大路魯山人
新版　放浪記,林芙美子
次郎物語 01 第一部,下村湖人
文鳥,夏目漱石
蛙のゴム靴,宮沢賢治
レ ミゼラブル 02 改訳について,豊島与志雄
判決,カフカ フランツ
鴉片,芥川竜之介
川端康成へ,太宰治
朝,太宰治
名人伝,中島敦
死者の書,折口信夫
新ハムレット,太宰治
ああ東京は食い倒れ,古川緑波
美食七十年の体験,北大路魯山人
自転車日記,夏目漱石
半七捕物帳 01 お文の魂,岡本綺堂
五重塔,幸田露伴
おじいさんのランプ,新美南吉
浅草公園 或シナリオ,芥川竜之介
愛と婚姻,泉鏡花
足跡,石川啄木
罪 苦痛 希望 及び真実の道についての考察,カフカ フランツ
新生,島崎藤村
魚河岸,芥川竜之介
バルタザアル,フランス アナトール
半七捕物帳 01 お文の魂,岡本綺堂
魏志倭人伝,陳寿
杜松の樹,グリム ヤーコプ ルートヴィッヒ カール　グリム ヴィルヘルム カール
内田百間氏,芥川竜之介
半七捕物帳 03 勘平の死,岡本綺堂
永日小品,夏目漱石
蛙,芥川竜之介
高瀬舟,森鴎外
大川の水,芥川竜之介
鮑の宿借り作り,北大路魯山人
死後,芥川竜之介
星めぐりの歌,宮沢賢治
植物知識,牧野富太郎
千曲川のスケッチ,島崎藤村
海援隊約規,坂本竜馬
出家とその弟子,倉田百三
ああ玉杯に花うけて,佐藤紅緑
世界怪談名作集 06 信号手,ディケンズ チャールズ
世界怪談名作集 03 スペードの女王,プーシキン アレクサンドル セルゲーヴィチ　
田舎教師,田山花袋
神神の微笑,芥川竜之介
なめとこ山の熊,宮沢賢治
半七捕物帳 04 湯屋の二階,岡本綺堂
或社会主義者,芥川竜之介
ルバイヤート,ハイヤーム オマル
眉山,太宰治
或敵打の話,芥川竜之介
世界怪談名作集 16 鏡中の美女,マクドナルド ジョージ
かもめ ——喜劇　四幕——,チェーホフ アントン
眠る森のお姫さま,ペロー シャルル
闇中問答,芥川竜之介
最初の苦悩,カフカ フランツ
恋,宮沢賢治
秋田街道,宮沢賢治
夜長姫と耳男,坂口安吾
若鮎の塩焼き,北大路魯山人
